location,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa,Częstochowa
lat,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000,50.75000
lon,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000,19.00000
asl,264.981,264.981,264.981,264.981,264.981,264.981,264.981,264.981,264.981,264.981,264.981,264.981,264.981,264.981,264.981,264.981,264.981
variable,Temperature,Precipitation Total,Relative Humidity,Snowfall Amount,Snow Depth,Wind Gust,Wind Speed,Wind Direction,Cloud Cover Total,CAPE,Sunshine Duration,Shortwave Radiation,Mean Sea Level Pressure,Evapotranspiration,Temperature,Soil Temperature,Soil Moisture
unit,°C,mm,%,cm,m,km/h,km/h,°,%,J/kg,min,W/m²,hPa,mm,°C,°C,m³/m³
level,2 m elevation corrected,sfc,2 m,sfc,sfc,sfc,10 m,10 m,sfc,180-0 mb above gnd,sfc,sfc,MSL,sfc,sfc,7-28 cm down,7-28 cm down
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Częstochowa Temperature [2 m elevation corrected],Częstochowa Precipitation Total,Częstochowa Relative Humidity [2 m],Częstochowa Snowfall Amount,Częstochowa Snow Depth,Częstochowa Wind Gust,Częstochowa Wind Speed [10 m],Częstochowa Wind Direction [10 m],Częstochowa Cloud Cover Total,Częstochowa CAPE [180-0 mb above gnd],Częstochowa Sunshine Duration,Częstochowa Shortwave Radiation,Częstochowa Mean Sea Level Pressure [MSL],Częstochowa Evapotranspiration,Częstochowa Temperature,Częstochowa Soil Temperature [7-28 cm down],Częstochowa Soil Moisture [7-28 cm down]
20210101T0000,-0.58212656,0.0,96.03672,0.0,0.0,6.8399997,4.510787,151.38954,82.0,3.0,0.0,0.0,1009.8,0.0,-0.75,2.19,0.269
