Time,Energy
1,14682.84
2,14100.71
3,13705.11
4,13607.15
5,13709.95
6,13820.8
7,13882.38
8,13892.55
9,14644.03
10,15463.33
11,16043.13
12,16416.13
13,16752.56
14,16697.28
15,16816.34
16,17744.04
17,17949.86
18,17892.9
19,17803.96
20,17502.74
21,16820.7
22,16223.73
23,15319.41
24,14492.94
25,13889.04
26,13640.69
27,13520.11
28,13691.21
29,14084.15
30,15028.75
31,15684.74
32,16398.69
33,17682.16
34,18650.39
35,18898.89
36,19047.49
37,19294.76
38,19252.25
39,19313.11
40,20169.99
41,20125.45
42,19863.98
43,19601.09
44,19010.14
45,18159.33
46,17364.85
47,16266.55
48,15196.55
49,14500.91
50,14147.0
51,13876.71
52,13916.43
53,14064.46
54,14483.01
55,14881.53
56,15270.69
57,16184.46
58,17255.26
59,17734.31
60,17946.31
61,18314.7
62,18007.61
63,17880.2
64,18825.5
65,19020.28
66,19147.49
67,19140.81
68,18683.24
69,17877.13
70,17305.86
71,16288.28
72,15442.51
73,14923.9
74,14729.96
75,14722.1
76,15188.16
77,16502.09
78,18946.85
79,20840.24
80,21904.46
81,22649.3
82,23133.73
83,23520.44
84,23532.98
85,23415.3
86,23125.73
87,23153.61
88,23826.48
89,23719.43
90,23355.93
91,23090.4
92,22585.64
93,21244.19
94,19777.33
95,18538.85
96,17504.21
97,16850.71
98,16603.54
99,16594.01
100,16929.16
101,17635.19
102,19926.78
103,21667.55
104,22617.25
105,23349.46
106,23916.2
107,24413.88
108,24439.51
109,24393.23
110,23993.4
111,23902.34
112,24381.3
113,24196.45
114,23707.94
115,23348.91
116,22723.68
117,21407.7
118,20105.58
119,18869.76
120,17754.74
121,16999.11
122,16474.28
123,16225.34
124,16201.1
125,16054.83
126,16150.6
127,16369.66
128,16877.33
129,17953.08
130,18785.3
131,19286.09
132,19601.63
133,19858.4
134,19579.84
135,19382.1
136,20234.3
137,20314.13
138,20243.56
139,20202.58
140,19876.53
141,19121.63
142,18341.65
143,17365.8
144,16430.7
145,15866.85
146,15583.68
147,15665.01
148,16094.0
149,16961.83
150,19762.05
151,22024.94
152,23148.59
153,24060.21
154,24446.48
155,24863.99
156,24875.7
157,24863.65
158,24393.29
159,24216.81
160,24786.83
161,24605.56
162,24113.15
163,24026.53
164,23312.06
165,21900.93
166,20526.96
167,19270.03
168,18377.74
169,17727.23
170,17375.09
171,17303.49
172,17528.51
173,18400.14
174,20699.71
175,22610.38
176,23495.79
177,24288.19
178,24614.54
179,24731.99
180,24721.3
181,24566.9
182,24182.49
183,24084.51
184,24893.04
185,24875.6
186,24345.0
187,24024.28
188,23318.7
189,21969.41
190,20695.49
191,19605.28
192,18473.71
193,17723.55
194,17321.94
195,17169.78
196,17277.26
197,17332.46
198,18328.6
199,19063.98
200,19933.34
201,21169.44
202,21903.58
203,22213.13
204,22200.74
205,22000.76
206,21416.0
207,21331.61
208,21964.39
209,22032.16
210,21781.24
211,21530.04
212,20901.83
213,19765.7
214,18881.94
215,17653.81
216,16646.96
217,15975.83
218,15535.43
219,15352.39
220,15343.5
221,15519.68
222,15838.84
223,16192.39
224,16753.2
225,17830.78
226,18710.75
227,19061.83
228,19293.1
229,19473.99
230,19119.88
231,18977.55
232,19953.93
233,20066.89
234,20172.74
235,20129.51
236,19719.31
237,18943.66
238,18352.58
239,17442.35
240,16677.78
241,16108.79
242,15991.84
243,16074.23
244,16452.5
245,17570.73
246,20542.43
247,22748.69
248,23830.9
249,24515.69
250,24753.0
251,24901.0
252,24801.94
253,24622.98
254,24216.95
255,24262.9
256,25017.83
257,25191.63
258,24815.79
259,24536.35
260,24113.86
261,22780.69
262,21360.21
263,20044.03
264,19073.09
265,18381.44
266,18075.1
267,17953.83
268,18266.0
269,19124.98
270,21545.08
271,23489.89
272,24335.44
273,24783.39
274,24882.63
275,25067.4
276,25213.3
277,25132.46
278,24624.08
279,24564.18
280,25253.5
281,25180.48
282,24791.46
283,24779.64
284,24109.53
285,22778.59
286,21362.29
287,20139.33
288,19170.24
289,18503.29
290,18026.55
291,17967.21
292,18101.65
293,18947.78
294,21354.75
295,23180.46
296,24170.11
297,24902.33
298,25251.88
299,25335.86
300,25360.94
301,25409.18
302,24885.01
303,24638.14
304,25289.51
305,25242.73
306,24841.8
307,24592.08
308,23966.74
309,22643.8
310,21266.78
311,20051.06
312,18940.98
313,18267.15
314,17937.48
315,17952.38
316,18330.56
317,19097.61
318,21577.31
319,23401.74
320,24400.23
321,25169.33
322,25471.61
323,25728.13
324,25868.04
325,25770.63
326,25193.08
327,24904.61
328,25499.4
329,25568.44
330,25235.84
331,25023.26
332,24345.53
333,22965.26
334,21689.59
335,20288.24
336,19331.05
337,18708.81
338,18368.76
339,18378.96
340,18788.56
341,19487.74
342,22002.86
343,23826.13
344,24796.99
345,25565.48
346,25935.63
347,26169.39
348,26088.49
349,25928.2
350,25316.66
351,25053.78
352,25748.8
353,25953.39
354,25557.31
355,25174.39
356,24625.93
357,23255.66
358,21761.69
359,20616.21
360,19533.66
361,18809.21
362,18371.88
363,18210.14
364,18285.34
365,18378.65
366,19379.61
367,20115.8
368,21281.88
369,22529.81
370,23229.04
371,23331.55
372,23059.08
373,22756.46
374,21998.88
375,21768.05
376,22502.25
377,22682.49
378,22669.21
379,22290.15
380,21579.26
381,20596.94
382,19863.48
383,18792.59
384,17765.86
385,17103.1
386,16775.15
387,16543.85
388,16604.43
389,16771.19
390,17089.29
391,17534.49
392,18373.7
393,19595.91
394,20702.11
395,20914.05
396,20896.18
397,20898.44
398,20472.5
399,20097.08
400,21003.74
401,21801.25
402,22038.2
403,21956.05
404,21483.65
405,20637.99
406,20113.31
407,19027.44
408,18161.85
409,17823.94
410,17600.56
411,17635.18
412,18190.38
413,19396.41
414,22339.8
415,24585.53
416,25980.39
417,26927.29
418,27202.61
419,27195.86
420,27065.54
421,26837.43
422,26187.93
423,25793.19
424,26344.28
425,26698.45
426,26299.28
427,26201.3
428,25569.44
429,24071.83
430,22458.69
431,21280.54
432,20173.68
433,19741.25
434,19333.73
435,19362.1
436,19592.15
437,20306.81
438,22689.55
439,24671.58
440,25821.81
441,26363.25
442,26367.94
443,26543.79
