location,Piła,Piła,Piła,Piła,Piła,Piła,Piła,Piła,Piła,Piła,Piła,Piła,Piła,Piła,Piła,Piła,Piła
lat,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000,53.25000
lon,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000,16.75000
asl,111.205,111.205,111.205,111.205,111.205,111.205,111.205,111.205,111.205,111.205,111.205,111.205,111.205,111.205,111.205,111.205,111.205
variable,Temperature,Precipitation Total,Relative Humidity,Snowfall Amount,Snow Depth,Wind Gust,Wind Speed,Wind Direction,Cloud Cover Total,CAPE,Sunshine Duration,Shortwave Radiation,Mean Sea Level Pressure,Evapotranspiration,Temperature,Soil Temperature,Soil Moisture
unit,°C,mm,%,cm,m,km/h,km/h,°,%,J/kg,min,W/m²,hPa,mm,°C,°C,m³/m³
level,2 m elevation corrected,sfc,2 m,sfc,sfc,sfc,10 m,10 m,sfc,180-0 mb above gnd,sfc,sfc,MSL,sfc,sfc,7-28 cm down,7-28 cm down
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Piła Temperature [2 m elevation corrected],Piła Precipitation Total,Piła Relative Humidity [2 m],Piła Snowfall Amount,Piła Snow Depth,Piła Wind Gust,Piła Wind Speed [10 m],Piła Wind Direction [10 m],Piła Cloud Cover Total,Piła CAPE [180-0 mb above gnd],Piła Sunshine Duration,Piła Shortwave Radiation,Piła Mean Sea Level Pressure [MSL],Piła Evapotranspiration,Piła Temperature,Piła Soil Temperature [7-28 cm down],Piła Soil Moisture [7-28 cm down]
20210101T0000,-1.3771683,0.0,97.340576,0.0,0.0,18.0,10.703569,137.72632,50.0,0.0,0.0,0.0,1008.2,0.0,-1.97,1.09,0.26
20210101T0100,-1.8071684,0.0,97.90134,0.0,0.0,19.44,10.195057,137.8624,94.0,0.0,0.0,0.0,1008.3,0.0,-2.53,1.06,0.259
20210101T0200,-1.8371683,0.0,97.8274,0.0,0.0,20.880001,11.457958,133.72697,99.0,0.0,0.0,0.0,1008.6,0.0,-2.03,1.03,0.259
20210101T0300,-1.7871681,0.0,98.70485,0.0,0.0,22.319998,13.004922,131.63353,100.0,0.0,0.0,0.0,1008.5,0.0,-1.71,1.0,0.259
20210101T0400,-1.7471682,0.0,98.633026,0.0,0.0,22.319998,13.513193,138.2397,100.0,1.0,0.0,0.0,1008.5,0.0,-1.58,0.98,0.259
20210101T0500,-1.7971684,0.0,99.14481,0.0,0.0,22.68,12.7279215,135.0,100.0,0.0,0.0,0.0,1008.4,0.0,-1.52,0.96,0.259
20210101T0600,-1.6071683,0.0,98.711006,0.0,0.0,23.759998,12.229406,132.61406,100.0,0.0,0.0,0.0,1008.5,0.0,-1.59,0.94,0.259
20210101T0700,-1.6571683,0.0,99.36967,0.0,0.0,23.759998,12.475961,136.16913,100.0,0.0,0.0,0.0,1008.4,0.00864,-1.49,0.92,0.259
20210101T0800,-1.6071683,0.0,99.224075,0.0,0.0,25.56,12.768586,139.57391,100.0,0.0,0.0,7.0,1008.6,0.01152,-1.33,0.91,0.258
20210101T0900,-1.5071683,0.0,97.55144,0.0,0.0,26.28,12.594856,149.03624,100.0,1.0,0.0,35.0,1008.9,0.01872,-0.9,0.89,0.258
20210101T1000,-1.7671682,0.0,96.74594,0.0,0.0,26.28,13.849477,152.10272,100.0,7.0,0.0,54.0,1009.2,0.02592,-0.38,0.89,0.258
20210101T1100,-1.7171682,0.0,96.38951,0.0,0.0,26.28,13.779114,160.14479,99.0,12.0,0.0,79.0,1008.9,0.03456,-0.16,0.89,0.258
20210101T1200,-1.7671682,0.1,95.88613,0.07,0.0,25.919998,11.620809,163.81079,98.0,4.0,0.6060612,56.0,1008.7,0.0288,-0.02,0.88,0.258
20210101T1300,-1.7671682,0.2,95.17479,0.14,0.0,23.4,10.703569,160.34618,100.0,3.0,0.0,37.0,1008.7,0.0216,-0.26,0.88,0.258
20210101T1400,-1.4671682,0.2,94.84043,0.14,0.0,21.24,10.464797,153.43495,100.0,2.0,0.0,27.0,1008.8,0.01584,-0.68,0.87,0.258
20210101T1500,-1.1971682,0.1,95.21018,0.07,0.0,20.519999,9.983106,154.359,98.0,1.0,0.48922607,5.0,1009.1,0.00864,-0.97,0.86,0.257
20210101T1600,-1.1971682,0.0,95.7054,0.0,0.0,18.72,9.904906,160.90651,79.0,4.0,0.0,0.0,1009.3,0.00576,-1.13,0.86,0.257
20210101T1700,-1.0071683,0.0,95.78712,0.0,0.0,18.72,10.948973,170.53767,98.0,5.0,0.0,0.0,1009.5,0.00576,-0.89,0.85,0.257
20210101T1800,-0.78716826,0.0,94.67383,0.0,0.0,18.0,10.105681,184.08562,99.0,7.0,0.0,0.0,1009.7,0.0072,-0.76,0.85,0.257
20210101T1900,-0.6071683,0.2,93.8501,0.14,0.0,19.08,8.557102,194.62088,100.0,6.0,0.0,0.0,1009.9,0.00432,-0.56,0.84,0.257
20210101T2000,-0.56716824,0.0,95.74124,0.07,0.0,15.84,9.178235,205.55997,99.0,6.0,0.0,0.0,1010.2,0.00144,-0.42,0.84,0.257
20210101T2100,-0.42716828,0.0,95.81959,0.0,0.0,16.56,9.793059,216.02737,100.0,2.0,0.0,0.0,1010.7,0.0,-0.41,0.83,0.257
20210101T2200,-0.037168294,0.0,99.777596,0.0,0.0,18.0,8.942214,220.1009,100.0,5.0,0.0,0.0,1011.3,0.00144,-0.36,0.8,0.257
20210101T2300,0.29283172,0.0,99.93044,0.0,0.0,18.359999,9.178235,221.82018,99.0,6.0,0.0,0.0,1011.8,0.0,-0.16,0.79,0.256
20210102T0000,0.45283172,0.0,99.788574,0.0,0.0,18.0,8.669949,221.63354,99.0,5.0,0.0,0.0,1012.2,0.0,-0.08,0.78,0.256
20210102T0100,0.5328317,0.0,99.500656,0.0,0.0,17.28,8.404285,223.2643,99.0,3.0,0.0,0.0,1012.4,0.0,0.0,0.78,0.256
20210102T0200,0.47283173,0.0,99.64401,0.0,0.0,15.119999,8.714677,218.29016,100.0,4.0,0.0,0.0,1012.9,0.0,0.01,0.77,0.256
20210102T0300,0.19283171,0.0,99.92833,0.0,0.0,14.4,9.693296,211.32869,100.0,4.0,0.0,0.0,1013.1,0.0,-0.06,0.77,0.256
20210102T0400,0.10283171,0.0,99.9264,0.0,0.0,15.84,9.504273,204.62357,88.0,4.0,0.0,0.0,1013.2,0.0,-0.1,0.76,0.256
20210102T0500,-0.067168295,0.0,99.922745,0.0,0.0,16.199999,9.565437,199.79887,76.0,2.0,0.0,0.0,1013.5,0.0,-0.51,0.76,0.256
20210102T0600,-0.2171683,0.0,99.33652,0.0,0.0,17.28,10.041354,194.53445,65.0,0.0,0.0,0.0,1014.2,0.0,-0.49,0.76,0.256
20210102T0700,-0.4671683,0.0,99.18421,0.0,0.0,18.72,10.594036,189.78241,56.0,0.0,0.0,0.0,1014.5,0.0,-0.88,0.75,0.255
20210102T0800,-0.4671683,0.0,98.82113,0.0,0.0,20.16,11.367109,190.95407,69.0,0.0,16.646465,9.0,1015.1,0.0,-0.74,0.75,0.255
20210102T0900,-0.24716827,0.0,96.81995,0.0,0.0,23.4,12.641076,199.98311,83.0,0.0,9.696969,57.0,1015.6,0.0072,0.7,0.75,0.255
20210102T1000,0.2528317,0.0,94.393684,0.0,0.0,23.759998,11.792404,211.26373,88.0,0.0,6.666666,94.0,1015.7,0.01872,0.55,0.73,0.255
20210102T1100,0.6328317,0.0,92.97931,0.0,0.0,23.4,10.883676,214.2157,100.0,0.0,0.0,126.0,1015.6,0.02736,0.97,0.72,0.255
20210102T1200,0.82283175,0.0,91.77738,0.0,0.0,21.599998,10.365251,200.32314,100.0,0.0,0.0,112.0,1015.8,0.0288,1.56,0.72,0.255
20210102T1300,0.78283167,0.0,92.38054,0.0,0.0,18.72,8.669949,184.76364,100.0,0.0,0.0,79.0,1016.0,0.02016,1.0,0.72,0.255
20210102T1400,0.70283175,0.0,92.5095,0.0,0.0,15.119999,6.489992,176.82018,100.0,0.0,0.0,41.0,1016.4,0.00864,0.57,0.72,0.255
20210102T1500,0.6128317,0.0,93.38703,0.0,0.0,12.599999,6.725354,164.47589,100.0,1.0,0.0,6.0,1017.2,0.00288,-0.31,0.73,0.255
20210102T1600,0.38283172,0.0,94.471306,0.0,0.0,12.24,5.495161,148.3925,99.0,1.0,0.0,0.0,1017.4,0.00144,-0.44,0.73,0.255
20210102T1700,-0.10716829,0.0,95.837204,0.0,0.0,10.799999,4.6102495,128.6598,99.0,1.0,0.0,0.0,1017.4,0.0,-0.34,0.73,0.254
20210102T1800,-0.37716827,0.0,96.246155,0.0,0.0,8.64,5.1165614,140.71059,99.0,2.0,0.0,0.0,1017.9,0.0,-0.36,0.73,0.254
20210102T1900,-0.69716823,0.0,96.727234,0.0,0.0,10.08,6.1305785,130.23636,99.0,3.0,0.0,0.0,1018.2,0.0,-0.5,0.74,0.254
20210102T2000,-0.54716825,0.0,96.09565,0.0,0.0,12.24,6.989936,124.508514,99.0,4.0,0.0,0.0,1018.3,0.00144,-0.56,0.74,0.254
20210102T2100,-0.5971683,0.0,95.739555,0.0,0.0,12.959999,7.342588,101.30993,99.0,2.0,0.0,0.0,1018.8,0.00288,-0.73,0.74,0.254
20210102T2200,-0.7771683,0.0,94.95478,0.0,0.0,14.759999,8.311245,94.96974,96.0,1.0,0.0,0.0,1018.9,0.00288,-0.55,0.69,0.254
20210102T2300,-0.8671683,0.0,94.66863,0.0,0.0,15.4800005,9.3669195,87.7974,90.0,0.0,0.0,0.0,1019.0,0.00288,-0.56,0.68,0.254
20210103T0000,-0.9671682,0.0,95.365265,0.0,0.0,18.0,10.829959,74.577835,92.0,0.0,0.0,0.0,1018.9,0.00432,-0.92,0.68,0.254
20210103T0100,-1.0971682,0.0,95.00495,0.0,0.0,23.039999,11.726277,72.1213,98.0,0.0,0.0,0.0,1018.8,0.00432,-0.71,0.67,0.254
20210103T0200,-1.1471683,0.0,94.58014,0.0,0.0,24.48,13.202726,64.13365,90.0,0.0,0.0,0.0,1018.5,0.00576,-0.93,0.66,0.254
20210103T0300,-1.1571683,0.0,94.93077,0.0,0.0,25.919998,14.8257065,60.945396,91.0,0.0,0.0,0.0,1018.2,0.00576,-1.04,0.65,0.254
20210103T0400,-1.2371683,0.0,95.34902,0.0,0.0,30.599998,15.725037,74.054596,98.0,0.0,0.0,0.0,1018.6,0.00576,-1.1,0.64,0.254
20210103T0500,-1.1571683,0.0,94.86041,0.0,0.0,30.960001,15.315873,66.44773,99.0,0.0,0.0,0.0,1018.7,0.00576,-1.16,0.64,0.253
20210103T0600,-1.1571683,0.0,94.15943,0.07,0.0,33.48,16.923828,60.708633,100.0,0.0,0.0,0.0,1018.2,0.00576,-1.25,0.63,0.253
20210103T0700,-1.0571682,0.0,93.26266,0.07,0.0,32.760002,17.287498,58.626984,100.0,0.0,0.0,0.0,1018.1,0.00864,-1.28,0.62,0.253
20210103T0800,-0.7271682,0.0,92.874275,0.07,0.0,39.6,22.702845,62.62229,100.0,1.0,0.0,6.0,1018.1,0.01008,-1.15,0.62,0.253
20210103T0900,-0.3571683,0.2,93.453354,0.14,0.0,43.199997,24.315327,64.573135,100.0,1.0,0.0,33.0,1018.1,0.01584,-0.8,0.61,0.253
20210103T1000,-0.037168294,0.3,92.042496,0.14,0.0,40.68,18.998316,62.9494,100.0,0.0,0.0,51.0,1018.0,0.0216,-0.81,0.6,0.253
20210103T1100,0.012831718,0.5,94.72512,0.28,0.0,39.6,20.60823,70.61548,100.0,1.0,0.0,37.0,1018.1,0.02016,-0.51,0.6,0.253
20210103T1200,0.20283172,0.6,95.85406,0.42000002,0.0,33.48,18.218275,60.39554,100.0,1.0,0.0,31.0,1017.7,0.0144,-0.47,0.59,0.253
20210103T1300,0.45283172,0.8,95.44811,0.56,0.0,40.32,18.79255,53.569138,99.0,2.0,0.0,30.0,1017.7,0.0144,-0.33,0.59,0.253
20210103T1400,0.6728317,0.5,95.53025,0.35,0.0,40.68,20.380579,54.344658,100.0,1.0,0.0,17.0,1017.2,0.01296,-0.24,0.58,0.253
20210103T1500,0.7728317,0.4,96.094315,0.28,0.0,41.760002,21.67786,54.46232,99.0,0.0,0.0,4.0,1017.1,0.01008,-0.26,0.58,0.252
20210103T1600,0.96283174,0.5,96.10403,0.28,0.0,41.399998,21.980644,58.392494,99.0,1.0,0.0,0.0,1017.1,0.01008,-0.2,0.58,0.252
20210103T1700,1.0528318,0.5,96.73897,0.35,0.0,41.399998,21.578989,62.152412,97.0,3.0,0.0,0.0,1017.3,0.00864,-0.08,0.58,0.252
20210103T1800,0.93283176,0.5,97.29739,0.28,0.0,40.68,21.261345,61.699234,92.0,3.0,0.0,0.0,1017.3,0.0072,0.03,0.58,0.252
