location,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw,Warsaw
lat,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000,52.25000
lon,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000,21.00000
asl,98.665,98.665,98.665,98.665,98.665,98.665,98.665,98.665,98.665,98.665,98.665,98.665,98.665,98.665,98.665,98.665,98.665
variable,Temperature,Precipitation Total,Relative Humidity,Snowfall Amount,Snow Depth,Wind Gust,Wind Speed,Wind Direction,Cloud Cover Total,CAPE,Sunshine Duration,Shortwave Radiation,Mean Sea Level Pressure,Evapotranspiration,Temperature,Soil Temperature,Soil Moisture
unit,°C,mm,%,cm,m,km/h,km/h,°,%,J/kg,min,W/m²,hPa,mm,°C,°C,m³/m³
level,2 m elevation corrected,sfc,2 m,sfc,sfc,sfc,10 m,10 m,sfc,180-0 mb above gnd,sfc,sfc,MSL,sfc,sfc,7-28 cm down,7-28 cm down
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Warsaw Temperature [2 m elevation corrected],Warsaw Precipitation Total,Warsaw Relative Humidity [2 m],Warsaw Snowfall Amount,Warsaw Snow Depth,Warsaw Wind Gust,Warsaw Wind Speed [10 m],Warsaw Wind Direction [10 m],Warsaw Cloud Cover Total,Warsaw CAPE [180-0 mb above gnd],Warsaw Sunshine Duration,Warsaw Shortwave Radiation,Warsaw Mean Sea Level Pressure [MSL],Warsaw Evapotranspiration,Warsaw Temperature,Warsaw Soil Temperature [7-28 cm down],Warsaw Soil Moisture [7-28 cm down]
20210101T0000,0.016821608,0.0,94.960266,0.0,0.0,9.36,3.7064266,29.05458,71.0,12.0,0.0,0.0,1009.5,0.00576,0.73,2.41,0.312
20210101T0100,-0.2831784,0.0,95.36048,0.0,0.0,8.64,3.6179552,5.7105865,78.0,15.0,0.0,0.0,1009.7,0.00576,-0.15,2.35,0.312
20210101T0200,-0.4231784,0.0,95.91351,0.0,0.0,7.92,4.1046314,344.74487,84.0,15.0,0.0,0.0,1009.8,0.00432,-0.93,2.3,0.312
20210101T0300,-0.6131784,0.0,96.0442,0.0,0.0,6.4799995,3.6179552,354.28943,100.0,13.0,0.0,0.0,1009.8,0.00432,0.21,2.24,0.312
20210101T0400,-0.7131784,0.0,96.46317,0.0,0.0,6.4799995,3.319036,347.4712,100.0,7.0,0.0,0.0,1009.8,0.00432,0.0,2.18,0.311
20210101T0500,-0.9231784,0.0,96.95061,0.0,0.0,7.2,2.5455842,8.130096,99.0,6.0,0.0,0.0,1009.8,0.00432,-0.19,2.12,0.311
20210101T0600,-1.1131784,0.0,97.514496,0.0,0.0,7.5599995,0.5091169,44.999985,100.0,6.0,0.0,0.0,1010.3,0.00432,-0.12,2.07,0.311
20210101T0700,-1.2431784,0.0,98.01314,0.0,0.0,6.12,1.0182338,225.0,100.0,5.0,0.0,0.0,1010.3,0.00432,-0.26,2.01,0.31
20210101T0800,-1.2631783,0.0,98.59146,0.0,0.0,9.0,3.7064266,240.9454,100.0,4.0,0.0,13.0,1010.7,0.0072,0.01,1.96,0.31
20210101T0900,-1.3431784,0.0,98.879616,0.0,0.0,11.5199995,4.198285,239.03624,100.0,2.0,0.0,32.0,1010.9,0.0144,0.5,1.92,0.31
